X_lr,X_stdt,Y
0.3834532985112992,0.04139666195513821,0.05157820126319589
0.3682475625648471,0.05157820126319589,0.049266918883440584
0.425756924753039,0.049266918883440584,0.04211235003681229
0.41117664327314335,0.04211235003681229,0.04475351511708441
0.3963461737943003,0.04475351511708441,0.0478212784784899
0.44050431563014797,0.0478212784784899,0.045529431930039894
0.4110095338759299,0.045529431930039894,0.04822636288873176
0.3960057843782796,0.04822636288873176,0.04822636288873176
0.425756924753039,0.04822636288873176,0.05098799760934925
0.44067530220853973,0.05098799760934925,0.05852307710157275
0.3807398088155313,0.05852307710157275,0.06206567008809608
0.3799378928203668,0.06206567008809608,0.06274423310109384
0.425756924753039,0.06274423310109384,0.06311240017595796
0.4411208216208277,0.06311240017595796,0.06425975446400856
0.394937242357817,0.06425975446400856,0.06429393669251215
0.4102073611707699,0.06429393669251215,0.06429393669251215
0.425756924753039,0.06429393669251215,0.06818220359892846
0.44130648833530833,0.06818220359892846,0.06928981243444554
0.4565766071482608,0.06928981243444554,0.07037825392247254
0.394937242357817,0.07037825392247254,0.06956805285952397
0.4102073611707699,0.06956805285952397,0.06513896702033897
0.4101128336051021,0.06513896702033897,0.055825546054812554
0.39418110996112565,0.055825546054812554,0.05523432022336509
0.40982203059152794,0.05523432022336509,0.11668646700465438
0.5352809708318917,0.11668646700465438,0.1149572384175786
0.4103930278852503,0.1149572384175786,0.11376787072150671
0.41030113922560574,0.11376787072150671,0.11569665740463125
0.3945632700228329,0.11569665740463125,0.11389292768506867
0.425756924753039,0.11389292768506867,0.11408381120365105
0.41001774288862924,0.11408381120365105,0.12246873108903802
0.4726897613476549,0.12246873108903802,0.1351215187249918
0.34705256106940835,0.1351215187249918,0.1302391226403629
0.4097233493603075,0.1302391226403629,0.1302391226403629
0.425756924753039,0.1302391226403629,0.13033235894128942
0.44179050014577037,0.13033235894128942,0.1284976859062711
0.4097233493603075,0.1284976859062711,0.12854215500477606
0.4096224210459844,0.12854215500477606,0.14673310390073452
0.3435318579177846,0.14673310390073452,0.15492704654605502
0.4754065073676156,0.15492704654605502,0.1507408920154732
0.425756924753039,0.1507408920154732,0.14929128179949983
0.425756924753039,0.14929128179949983,0.1510703036144944
0.392764001924412,0.1510703036144944,0.15280673792925534
0.3923350910979608,0.15280673792925534,0.15581424066840827
0.459178758408117,0.15581424066840827,0.15674834611508529
0.44230605297003883,0.15674834611508529,0.11327556093045413
0.425756924753039,0.11327556093045413,0.11333515782823841
0.409207796536039,0.11333515782823841,0.11541868063617233
0.44230605297003883,0.11541868063617233,0.11343338701367514
0.425756924753039,0.11343338701367514,0.11343338701367514
0.425756924753039,0.11343338701367514,0.11981763264451484
0.3757859628809609,0.11981763264451484,0.11099698269290392
0.4425220986221675,0.11099698269290392,0.09396504145829829
0.39211706383373046,0.09396504145829829,0.09658529746426153
0.39167106213315894,0.09658529746426153,0.09658529746426153
0.425756924753039,0.09658529746426153,0.09443006487080682
0.425756924753039,0.09443006487080682,0.10114360056550037
0.45984278737291895,0.10114360056550037,0.10086606280547428
